Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-09-04T16:40:18.054Z","pro-free-trial","auto","No","49078","0","1122090","6362","1177530","Included"
"2025-09-04T14:52:59.272Z","pro-free-trial","auto","No","2510","0","142608","627","145745","Included"
"2025-09-04T14:50:55.966Z","pro-free-trial","auto","No","20264","0","439628","3248","463140","Included"
"2025-09-04T13:43:47.958Z","pro-free-trial","auto","No","2163","0","173313","516","175992","Included"
"2025-09-04T13:43:40.738Z","Errored, Not Charged","auto","No","1524","0","32229","57","33810","Included"
"2025-09-04T13:43:11.466Z","pro-free-trial","auto","No","0","0","0","0","0","Included"
"2025-09-04T13:42:51.190Z","Errored, Not Charged","auto","No","4422","0","160237","283","164942","Included"
"2025-09-04T13:42:08.273Z","Errored, Not Charged","auto","No","15761","0","291417","584","307762","Included"
"2025-09-04T13:40:59.718Z","pro-free-trial","auto","No","11995","0","840156","1103","853254","Included"
"2025-09-04T13:39:08.630Z","Errored, Not Charged","auto","No","85649","0","1529213","2871","1617733","Included"
"2025-09-04T13:36:22.496Z","pro-free-trial","auto","No","4035","0","367382","841","372258","Included"
"2025-09-04T13:35:24.021Z","pro-free-trial","auto","No","1925","0","775172","583","777680","Included"
"2025-09-04T13:34:58.228Z","pro-free-trial","auto","No","95788","0","3243063","2265","3341116","Included"
"2025-09-04T13:33:44.641Z","pro-free-trial","auto","No","28185","0","713090","5142","746417","Included"
"2025-09-04T13:33:21.518Z","pro-free-trial","auto","No","31159","0","1033145","10162","1074466","Included"
"2025-09-04T13:32:46.147Z","Errored, Not Charged","auto","No","14045","0","317230","774","332049","Included"
"2025-09-04T13:30:02.891Z","pro-free-trial","auto","No","80083","0","2079436","7189","2166708","Included"
"2025-09-04T13:29:59.389Z","pro-free-trial","auto","No","1072","0","126119","1415","128606","Included"
"2025-09-04T13:28:01.705Z","pro-free-trial","auto","No","47726","0","370565","1433","419724","Included"
"2025-09-04T13:26:03.244Z","pro-free-trial","auto","No","177342","51","6205144","8462","6390999","Included"
"2025-09-04T13:24:57.019Z","pro-free-trial","auto","No","1392","0","89826","233","91451","Included"
"2025-09-04T13:21:19.858Z","Errored, Not Charged","auto","No","39281","0","1379457","5170","1423908","Included"
"2025-09-04T13:21:13.048Z","pro-free-trial","auto","No","27175","0","887700","2330","917205","Included"
"2025-09-04T13:21:01.865Z","Errored, Not Charged","auto","No","36869","0","2318178","15377","2370424","Included"
"2025-09-04T13:20:06.767Z","pro-free-trial","auto","No","57436","0","3005420","9454","3072310","Included"
"2025-09-04T13:19:17.819Z","Errored, Not Charged","auto","No","15705","0","24934","244","40883","Included"
"2025-09-04T12:59:58.942Z","pro-free-trial","auto","No","32469","0","258152","3642","294263","Included"
"2025-09-04T12:55:09.009Z","pro-free-trial","auto","No","28903","0","441183","1746","471832","Included"
"2025-09-04T12:52:23.529Z","pro-free-trial","auto","No","53917","0","898028","3431","955376","Included"
"2025-09-04T12:47:58.230Z","Errored, Not Charged","auto","No","39397","0","9124","515","49036","Included"
"2025-09-04T12:43:40.013Z","pro-free-trial","auto","No","132629","0","1225489","4912","1363030","Included"
"2025-09-04T12:38:55.101Z","pro-free-trial","auto","No","47694","0","208465","2613","258772","Included"
"2025-09-04T12:38:13.539Z","pro-free-trial","auto","No","11106","0","253791","1776","266673","Included"
"2025-09-04T12:37:21.309Z","pro-free-trial","auto","No","4522","0","252865","1404","258791","Included"
"2025-09-04T12:34:25.641Z","pro-free-trial","auto","No","25331","0","491821","1070","518222","Included"
"2025-09-04T12:31:35.081Z","pro-free-trial","auto","No","9224","0","550298","3321","562843","Included"
"2025-09-04T12:29:57.214Z","pro-free-trial","auto","No","5279","0","668794","681","674754","Included"
"2025-09-04T12:29:44.141Z","Errored, Not Charged","auto","No","927","0","214221","217","215365","Included"
"2025-09-04T12:26:40.194Z","pro-free-trial","auto","No","5507","0","395027","1025","401559","Included"
"2025-09-04T12:26:16.619Z","Errored, Not Charged","auto","No","10975","0","219823","526","231324","Included"
"2025-09-04T12:25:36.851Z","Errored, Not Charged","auto","No","570","0","103261","261","104092","Included"
"2025-09-04T12:25:21.082Z","Errored, Not Charged","auto","No","6560","0","135219","468","142247","Included"
"2025-09-04T12:24:13.276Z","Errored, Not Charged","auto","No","487","0","43991","96","44574","Included"
"2025-09-04T12:23:34.337Z","pro-free-trial","auto","No","5530","0","367656","1372","374558","Included"
"2025-09-04T12:17:17.526Z","Errored, Not Charged","auto","No","24162","0","648840","5599","678601","Included"
"2025-09-04T12:15:23.066Z","Errored, Not Charged","auto","No","1853","0","106316","424","108593","Included"
"2025-09-04T12:15:02.077Z","pro-free-trial","auto","No","17750","0","330061","2673","350484","Included"
"2025-09-04T12:13:43.603Z","Errored, Not Charged","auto","No","1676","0","99560","132","101368","Included"
"2025-09-04T12:12:40.373Z","Errored, Not Charged","auto","No","0","89486","0","11978","101464","Included"
"2025-09-04T12:11:10.563Z","pro-free-trial","auto","No","23372","0","336744","5570","365686","Included"
"2025-09-04T12:09:56.675Z","Errored, Not Charged","auto","No","16054","0","148850","1739","166643","Included"
"2025-09-04T12:07:39.607Z","Errored, Not Charged","auto","No","42382","0","1321785","1468","1365635","Included"
"2025-09-04T11:56:30.333Z","Errored, Not Charged","auto","No","105161","61461","3942119","12515","4121256","Included"
"2025-09-04T11:51:20.208Z","Errored, Not Charged","auto","No","32652","0","3395535","6949","3435136","Included"
"2025-09-04T11:51:15.037Z","pro-free-trial","auto","No","0","0","0","0","0","Included"
"2025-09-04T11:51:03.607Z","pro-free-trial","auto","No","21389","0","112181","186","133756","Included"
"2025-09-04T11:48:22.214Z","Errored, Not Charged","auto","No","63690","0","925496","4292","993478","Included"
"2025-09-04T11:39:25.452Z","Errored, Not Charged","auto","No","36757","421","222641","3863","263682","Included"
"2025-09-04T11:08:13.142Z","pro-free-trial","auto","No","5795","0","511852","2342","519989","Included"
"2025-09-04T11:06:42.857Z","pro-free-trial","auto","No","4889","0","317905","1543","324337","Included"
"2025-09-04T11:06:13.594Z","pro-free-trial","auto","No","629","0","75168","475","76272","Included"
"2025-09-04T11:05:38.363Z","pro-free-trial","auto","No","937","0","110376","439","111752","Included"
"2025-09-04T11:01:22.889Z","Errored, Not Charged","auto","No","26446","0","497185","2964","526595","Included"
"2025-09-04T11:01:11.356Z","pro-free-trial","auto","No","23754","0","126553","2122","152429","Included"
"2025-09-04T10:38:59.706Z","Errored, Not Charged","auto","No","13465","0","361269","1708","376442","Included"
"2025-09-04T10:37:31.252Z","pro-free-trial","auto","No","6895","0","122560","400","129855","Included"
"2025-09-04T10:37:18.016Z","Errored, Not Charged","auto","No","16059","0","263565","4707","284331","Included"
"2025-09-04T10:36:59.811Z","Errored, Not Charged","auto","No","5522","0","76059","628","82209","Included"
"2025-09-04T10:10:01.337Z","Errored, Not Charged","auto","No","4442","0","346664","1022","352128","Included"
"2025-09-04T10:06:38.354Z","Errored, Not Charged","auto","No","11176","0","493847","2106","507129","Included"
"2025-09-04T10:05:58.403Z","Errored, Not Charged","auto","No","39824","0","12973","101","52898","Included"
"2025-09-04T10:02:14.881Z","Errored, Not Charged","auto","No","36900","0","529221","718","566839","Included"
"2025-09-04T10:01:17.829Z","pro-free-trial","auto","No","32376","0","67237","149","99762","Included"
"2025-09-04T09:54:49.297Z","pro-free-trial","auto","No","29894","0","737425","5698","773017","Included"
"2025-09-04T09:42:47.799Z","Errored, Not Charged","auto","No","4872","0","130151","1335","136358","Included"
"2025-09-04T09:42:28.107Z","Errored, Not Charged","auto","No","15016","0","42832","425","58273","Included"
"2025-09-04T09:23:44.698Z","pro-free-trial","auto","No","4561","0","411288","1905","417754","Included"
"2025-09-04T09:22:54.822Z","pro-free-trial","auto","No","12118","0","297301","936","310355","Included"
"2025-09-04T09:21:19.730Z","pro-free-trial","auto","No","14352","0","267800","1542","283694","Included"
"2025-09-04T09:20:46.374Z","pro-free-trial","auto","No","1855","0","122242","337","124434","Included"
"2025-09-04T09:20:29.346Z","pro-free-trial","auto","No","1349","0","157275","577","159201","Included"
"2025-09-04T09:20:15.655Z","Errored, Not Charged","auto","No","545","0","38300","0","38845","Included"
"2025-09-04T09:18:22.330Z","Errored, Not Charged","auto","No","31093","0","602982","3954","638029","Included"
"2025-09-04T07:24:14.862Z","Errored, Not Charged","auto","No","23393","0","322985","1030","347408","Included"
"2025-09-04T06:20:23.907Z","pro-free-trial","auto","No","2614","0","250710","412","253736","Included"
"2025-09-04T06:16:46.889Z","Errored, Not Charged","auto","No","5655","0","333994","1739","341388","Included"
"2025-09-04T06:02:14.889Z","pro-free-trial","auto","No","17635","0","293044","1438","312117","Included"
"2025-09-04T05:59:38.894Z","pro-free-trial","auto","No","28034","0","964887","5268","998189","Included"
"2025-09-04T05:56:23.008Z","pro-free-trial","auto","No","11043","0","303824","1650","316517","Included"
"2025-09-04T05:51:02.499Z","pro-free-trial","auto","No","2588","0","170510","396","173494","Included"
"2025-09-04T05:50:33.768Z","pro-free-trial","auto","No","2855","0","223800","674","227329","Included"
"2025-09-04T05:49:30.093Z","Errored, Not Charged","auto","No","5663","0","158766","491","164920","Included"
"2025-09-04T05:48:41.706Z","pro-free-trial","auto","No","2653","0","240684","732","244069","Included"
"2025-09-04T05:47:39.328Z","pro-free-trial","auto","No","4238","0","359525","790","364553","Included"
"2025-09-04T05:46:01.071Z","pro-free-trial","auto","No","1734","0","83010","245","84989","Included"
"2025-09-04T05:45:01.360Z","pro-free-trial","auto","No","33968","0","395152","1660","430780","Included"
"2025-09-04T05:43:14.191Z","pro-free-trial","auto","No","3808","0","169479","722","174009","Included"
"2025-09-04T05:42:51.856Z","Errored, Not Charged","auto","No","2949","0","88172","938","92059","Included"
"2025-09-04T05:37:27.478Z","pro-free-trial","auto","No","2740","0","106332","1067","110139","Included"
"2025-09-04T05:36:57.947Z","pro-free-trial","auto","No","3870","0","142648","1152","147670","Included"
"2025-09-04T05:35:57.911Z","pro-free-trial","auto","No","14607","0","28888","96","43591","Included"
"2025-09-04T05:35:12.406Z","pro-free-trial","auto","No","2931","0","107191","609","110731","Included"
"2025-09-04T05:34:39.460Z","pro-free-trial","auto","No","14486","0","62140","424","77050","Included"
"2025-09-04T04:59:32.851Z","pro-free-trial","auto","No","8856","0","7228","159","16243","Included"
"2025-09-04T04:31:15.410Z","pro-free-trial","auto","No","9798","0","39446","523","49767","Included"
"2025-09-04T03:05:46.146Z","Errored, Not Charged","auto","No","34395","0","206223","491","241109","Included"
"2025-09-04T02:06:20.157Z","pro-free-trial","auto","No","2391","0","170565","752","173708","Included"
"2025-09-04T01:58:21.896Z","pro-free-trial","auto","No","7812","0","371689","4346","383847","Included"
"2025-09-04T01:53:06.343Z","Errored, Not Charged","auto","No","12094","0","151382","4534","168010","Included"
"2025-09-04T01:46:16.248Z","pro-free-trial","auto","No","1781","0","643616","662","646059","Included"
"2025-09-04T01:45:20.062Z","pro-free-trial","auto","No","2715","0","525521","1747","529983","Included"
"2025-09-04T01:44:02.218Z","pro-free-trial","auto","No","4100","0","1014639","948","1019687","Included"
"2025-09-04T01:43:40.699Z","pro-free-trial","auto","No","583","0","198504","655","199742","Included"
"2025-09-04T01:32:24.145Z","pro-free-trial","auto","No","268676","0","435276","1215","705167","Included"
"2025-09-03T23:13:44.748Z","pro-free-trial","auto","No","9447","0","506296","1851","517594","Included"
"2025-09-03T23:12:29.932Z","pro-free-trial","auto","No","47255","0","422734","1024","471013","Included"
"2025-09-03T23:12:24.055Z","Errored, Not Charged","auto","No","96","0","49370","122","49588","Included"
"2025-09-03T23:11:12.973Z","Errored, Not Charged","auto","No","42023","0","7107","100","49230","Included"
"2025-09-03T23:11:09.792Z","Errored, Not Charged","auto","No","0","0","0","0","0","Included"
"2025-09-03T22:39:08.695Z","pro-free-trial","auto","No","24037","0","1668688","6530","1699255","Included"
"2025-09-03T22:20:54.542Z","pro-free-trial","auto","No","6407","0","282635","1637","290679","Included"
"2025-09-03T22:18:46.295Z","Errored, Not Charged","auto","No","13228","0","307762","1537","322527","Included"
"2025-09-03T22:16:17.684Z","pro-free-trial","auto","No","222","0","34823","176","35221","Included"
"2025-09-03T22:15:02.642Z","pro-free-trial","auto","No","244","0","34580","128","34952","Included"
"2025-09-03T22:14:59.800Z","pro-free-trial","auto","No","92","0","34489","153","34734","Included"
"2025-09-03T22:14:43.496Z","pro-free-trial","auto","No","229","0","68612","60","68901","Included"
"2025-09-03T22:13:10.599Z","pro-free-trial","auto","No","656","0","101483","130","102269","Included"
"2025-09-03T22:11:41.958Z","pro-free-trial","auto","No","4299","0","184367","1201","189867","Included"
"2025-09-03T22:09:43.212Z","Errored, Not Charged","auto","No","1268","7181","27453","1149","37051","Included"
"2025-09-03T22:06:00.894Z","Errored, Not Charged","auto","No","12230","0","215867","1232","229329","Included"
"2025-09-03T22:05:20.160Z","pro-free-trial","auto","No","8714","0","67658","770","77142","Included"
"2025-09-03T22:04:39.629Z","Errored, Not Charged","auto","No","1660","0","91224","487","93371","Included"
"2025-09-03T22:03:43.220Z","Errored, Not Charged","auto","No","2467","0","93230","718","96415","Included"
"2025-09-03T22:02:48.844Z","pro-free-trial","auto","No","1926","0","17262","242","19430","Included"
"2025-09-03T22:01:49.530Z","Errored, Not Charged","auto","No","0","0","0","0","0","Included"
"2025-09-03T21:59:03.358Z","Errored, Not Charged","auto","No","2061","0","503486","403","505950","Included"
"2025-09-03T21:58:28.525Z","pro-free-trial","auto","No","8539","0","483204","788","492531","Included"
"2025-09-03T21:55:39.224Z","pro-free-trial","auto","No","1495","0","369385","631","371511","Included"
"2025-09-03T21:54:13.484Z","pro-free-trial","auto","No","1525","0","421005","586","423116","Included"
"2025-09-03T21:53:07.052Z","pro-free-trial","auto","No","10719","0","396930","1654","409303","Included"
"2025-09-03T21:50:11.159Z","pro-free-trial","auto","No","1785","0","288317","523","290625","Included"
"2025-09-03T21:49:09.327Z","pro-free-trial","auto","No","6531","0","426200","885","433616","Included"
"2025-09-03T21:47:46.466Z","pro-free-trial","auto","No","661","0","80265","368","81294","Included"
"2025-09-03T21:46:50.224Z","pro-free-trial","auto","No","32856","0","358223","757","391836","Included"
"2025-09-03T21:37:10.410Z","pro-free-trial","auto","No","30140","0","405372","1681","437193","Included"
"2025-09-03T21:28:45.530Z","pro-free-trial","auto","No","281","0","42654","62","42997","Included"
"2025-09-03T21:25:21.730Z","pro-free-trial","auto","No","14135","5351","548991","8027","576504","Included"
"2025-09-03T21:25:15.033Z","pro-free-trial","auto","No","0","0","0","0","0","Included"
"2025-09-03T21:25:03.694Z","Errored, Not Charged","auto","No","0","0","0","0","0","Included"
"2025-09-03T21:05:25.479Z","pro-free-trial","auto","No","8543","20048","108256","2056","138903","Included"
"2025-09-03T21:03:32.687Z","pro-free-trial","auto","No","572","0","192189","248","193009","Included"
"2025-09-03T21:00:53.190Z","pro-free-trial","auto","No","6962","17001","748005","2199","774167","Included"
"2025-09-03T20:56:54.194Z","pro-free-trial","auto","No","1413","0","440726","648","442787","Included"
"2025-09-03T20:56:30.764Z","pro-free-trial","auto","No","9465","0","160484","335","170284","Included"
"2025-09-03T20:53:19.725Z","pro-free-trial","auto","No","9823","0","758585","1128","769536","Included"
"2025-09-03T20:52:35.619Z","pro-free-trial","auto","No","649","0","71498","903","73050","Included"
"2025-09-03T20:45:14.877Z","pro-free-trial","auto","No","36527","0","2161628","5010","2203165","Included"
"2025-09-03T20:37:36.385Z","pro-free-trial","auto","No","44337","0","633673","3657","681667","Included"
"2025-09-03T20:37:18.459Z","Errored, Not Charged","auto","No","0","0","0","0","0","Included"
"2025-09-03T20:36:55.650Z","pro-free-trial","auto","No","15445","0","7156","579","23180","Included"
"2025-09-03T20:12:40.710Z","Errored, Not Charged","auto","No","102212","70015","1920155","7046","2099428","Included"
"2025-09-03T20:10:11.320Z","Errored, Not Charged","auto","No","1180","0","234108","284","235572","Included"
"2025-09-03T20:06:19.061Z","pro-free-trial","auto","No","15866","0","3676910","4255","3697031","Included"
"2025-09-03T20:02:23.700Z","pro-free-trial","auto","No","16193","0","2045264","4878","2066335","Included"
"2025-09-03T19:59:09.901Z","Errored, Not Charged","auto","No","6323","0","646791","2884","655998","Included"
"2025-09-03T19:56:21.937Z","pro-free-trial","auto","No","8964","0","1843145","2061","1854170","Included"
"2025-09-03T19:55:21.293Z","pro-free-trial","auto","No","32150","0","1079095","4312","1115557","Included"
"2025-09-03T19:54:59.073Z","pro-free-trial","auto","No","80983","0","351254","494","432731","Included"
"2025-09-03T19:54:17.966Z","pro-free-trial","auto","No","6108","0","132193","943","139244","Included"
"2025-09-03T19:53:49.639Z","pro-free-trial","auto","No","61567","0","1130114","1969","1193650","Included"
"2025-09-03T19:53:38.189Z","Errored, Not Charged","auto","No","0","0","0","0","0","Included"
"2025-09-03T19:51:57.977Z","Errored, Not Charged","auto","No","3954","0","631574","505","636033","Included"
"2025-09-03T19:48:14.930Z","pro-free-trial","auto","No","1313","0","307739","460","309512","Included"
"2025-09-03T19:47:05.977Z","Errored, Not Charged","auto","No","3351","0","590018","2320","595689","Included"
"2025-09-03T19:46:41.011Z","pro-free-trial","auto","No","1814","0","287188","677","289679","Included"
"2025-09-03T19:44:23.773Z","pro-free-trial","auto","No","8621","0","1450084","2614","1461319","Included"
"2025-09-03T19:43:12.435Z","pro-free-trial","auto","No","2319","0","596488","742","599549","Included"
"2025-09-03T19:41:28.748Z","pro-free-trial","auto","No","655","0","167360","485","168500","Included"
"2025-09-03T19:40:52.177Z","pro-free-trial","auto","No","1668","0","164257","425","166350","Included"
"2025-09-03T19:39:20.347Z","pro-free-trial","auto","No","6487","0","701466","1763","709716","Included"
"2025-09-03T19:38:26.895Z","pro-free-trial","auto","No","68533","0","377324","901","446758","Included"
"2025-09-03T19:34:13.369Z","pro-free-trial","auto","No","3374","0","499644","941","503959","Included"
"2025-09-03T19:32:55.975Z","pro-free-trial","auto","No","4075","0","610129","1594","615798","Included"
"2025-09-03T19:32:26.776Z","pro-free-trial","auto","No","58953","0","138448","555","197956","Included"
"2025-09-03T19:27:02.031Z","pro-free-trial","claude-4-sonnet","No","10607","110","1257649","4279","1272645","Included"
"2025-09-03T19:25:44.427Z","pro-free-trial","claude-4-sonnet","No","2161","151","436046","898","439256","Included"
"2025-09-03T19:25:06.655Z","pro-free-trial","claude-4-sonnet","No","1045","396","141768","618","143827","Included"
"2025-09-03T19:22:26.192Z","Errored, Not Charged","claude-4-sonnet","No","13459","107","328702","961","343229","Included"
"2025-09-03T19:20:00.718Z","pro-free-trial","claude-4-sonnet","No","55085","130","515510","3704","574429","Included"
"2025-09-03T19:18:56.950Z","pro-free-trial","auto","No","122816","72802","73637","4036","273291","Included"
"2025-09-03T19:18:33.743Z","Errored, Not Charged","gpt-5","No","0","0","0","0","0","Included"
"2025-09-03T19:18:09.430Z","Errored, Not Charged","gpt-5-high","No","0","0","0","0","0","Included"
"2025-09-03T19:17:17.339Z","pro-free-trial","gpt-5-high","No","0","326","86656","1226","88208","Included"
"2025-09-03T19:16:27.917Z","Errored, Not Charged","gpt-5-high","No","0","0","0","0","0","Included"
"2025-09-03T19:15:18.893Z","pro-free-trial","gpt-5-high","No","0","2123","426112","1824","430059","Included"
"2025-09-03T19:11:14.443Z","pro-free-trial","gpt-5-high","No","0","928","168704","1625","171257","Included"
"2025-09-03T19:08:28.993Z","pro-free-trial","gpt-5-high","No","0","3495","326784","4766","335045","Included"
"2025-09-03T19:07:28.127Z","Errored, Not Charged","gpt-5-high","No","0","349","80384","1123","81856","Included"
"2025-09-03T19:07:21.119Z","pro-free-trial","claude-4-sonnet","No","3034","111","316719","1370","321234","Included"
"2025-09-03T19:06:49.424Z","pro-free-trial","claude-4-sonnet","No","429","31","43588","152","44200","Included"
"2025-09-03T19:04:15.872Z","pro-free-trial","claude-4-sonnet","No","3821","109","372954","1550","378434","Included"
"2025-09-03T19:03:37.899Z","pro-free-trial","gpt-5-high","No","0","754","79744","2034","82532","Included"
"2025-09-03T19:01:40.221Z","pro-free-trial","claude-4-sonnet","No","28568","36","358980","5299","392883","Included"
"2025-09-03T19:01:06.948Z","Errored, Not Charged","auto","No","0","0","0","0","0","Included"
"2025-09-03T18:56:33.025Z","pro-free-trial","gpt-5-high","No","0","128658","1380736","15350","1524744","Included"
"2025-09-03T18:54:44.859Z","pro-free-trial","auto","No","2971","0","1375241","1196","1379408","Included"
"2025-09-03T18:54:00.660Z","pro-free-trial","auto","No","398","0","158967","75","159440","Included"
"2025-09-03T18:52:25.090Z","Errored, Not Charged","auto","No","72247","0","1544871","1251","1618369","Included"
"2025-09-03T18:51:16.893Z","pro-free-trial","auto","No","2513","0","961344","914","964771","Included"
"2025-09-03T18:50:39.422Z","pro-free-trial","gpt-5-high","No","0","313","67456","650","68419","Included"
"2025-09-03T18:50:22.477Z","Errored, Not Charged","auto","No","2649","0","856992","605","860246","Included"
"2025-09-03T18:49:09.491Z","Errored, Not Charged","gpt-5-high","No","0","2651","198016","3839","204506","Included"
"2025-09-03T18:47:50.450Z","pro-free-trial","auto","No","8526","0","444009","1142","453677","Included"
"2025-09-03T18:44:59.837Z","pro-free-trial","gpt-5-high","No","0","13196","275328","8053","296577","Included"
"2025-09-03T18:44:42.222Z","pro-free-trial","auto","No","6666","0","1771014","1885","1779565","Included"
"2025-09-03T18:43:33.046Z","Errored, Not Charged","auto","No","4604","0","844801","1128","850533","Included"
"2025-09-03T18:38:17.551Z","pro-free-trial","auto","No","55926","0","69745","309","125980","Included"
